org_id,org_name,address,ward,org_type,contact,description, website ,image
0001,Bread for the City Southeast Food Distribution Center,"1700 Marion Barry Ave SE, Washington, DC 20020 ",8,food_bank,(202) 265-2400,"The mission of Bread for the City is to help Washington, DC residents living with low income to develop their power to determine the future of their own communities. We provide food, clothing, medical care, and legal and social services to reduce the burden of poverty. We seek justice through community organizing and public advocacy. We work to uproot racism, a major cause of poverty. We are committed to treating our clients with the dignity and respect that all people deserve.", https://breadforthecity.org/food/ ,https://breadforthecity.org/wp-content/uploads/2023/01/logo.svg
0002,Project Create Arts Center,"2208 Martin Luther King Jr Ave SE, Washington, DC 20020",8,youth_focused,(202) 889-0655,"Project Create is a community-based nonprofit that promotes creative youth development through multi-disciplinary arts education, arts enrichment, and art therapy. Project Create staff and teaching artists have been working with children, youth, and families in Washington DC for thirty years. Our students participate in out-of-school-time art classes, workshops, open studios, field trips, and exhibition and performance opportunities. ", https://projectcreatedc.org/ ,https://projectcreatedc.org/wp-content/uploads/2022/03/Project-Create-Logo-768x327.png
0003,Little Lights,"760 7th St SE, Washington, DC 20003",6,youth_focused,(202) 548-4021,"Today Little Lights continues to holistically serves roughly 250 students and 250 adults each year who live in DC's public housing communities. Our mission is to empower underserved youth, families, and communities in Washington DC by sharing the hope of Christ through compassionate action, caring relationships, and racial reconciliation.", https://littlelights.org/ ,https://cdn.corenexis.com/f/00FGfAQ2Dau.png
0004,BOSSDC Nonprofit for Youth Development ,"1231 Marion Barry Ave SE, Washington, DC 20020",8,youth_focused,(202) 903-8638,"Beta Omega Social Services (also known as ‘BOSS’) was established in 2003 as a 501 c (3) Non-Profit organization by the Washington DC Alumni chapter of Iota Phi Theta Fraternity, Inc. The organization was established as a public charity organization to support the perpetual development of underserved communities within the Washington DC metropolitan area.
​Beta Omega Social Services has adopted a set of programs designed to improve the physical, economic and communal well-being of youth and families. ", https://www.bossdc.org/ ,https://www.bossdc.org/wp-content/uploads/al_opt_content/IMAGE/www.bossdc.org/wp-content/uploads/2025/10/76945462.png.bv.webp?bv_host=www.bossdc.org
0005,Greater Fellowship Gospel Baptist Church ,"814 Alabama Ave SE, Washington, DC 20032 ",8,church,(202) 561-5594,"Greater Fellowship Gospel Baptist Church is a church that has the vision to bring people to Jesus and Membership in His Family;
to develop them in Christ like Maturity; to equip them for their Ministry in the church, and life Mission in the world; In order to magnify God’s name. (Adapted from Saddleback Church)", https://greaterfellowshipdc.org/ ,https://storage1.snappages.site/3VDZR8/assets/images/6128814_2000x2000_500.png
0006,Martha's Table at The Commons,"2375 Elvans Rd SE, Washington, DC 20020",8,food_bank,(202)-328-6608,"Our work is guided by the wisdom and leadership of our neighbors and rooted in the belief that strong communities are built by investing in people. We are committed to walking alongside our neighbors, creating opportunities, and strengthening the foundations that allow children and families to succeed.", https://marthastable.org/ ,https://marthastable.org/wp-content/uploads/2019/03/logo.svg
0007,Career Path DC,"3215 Martin Luther King Jr Ave SE, Washington, DC 20032",8,career_workforce,(202) 400-4635,"The Career Path DC Clean and Safe Team serves as a resource within the District of Columbia by creating employment opportunities for the residents and creating a clean and safe environment within the communities we serve. We create employment opportunities for the City’s most needy residents, selecting participants from each of the eight Wards within the City. We provide these individuals with intensive life skills and job readiness training, focusing on obtaining and maintaining employment, acceptable workplace behaviors, and overcoming barriers. The participants also receive work experience training, learning the methods of beautification within living, working, and business environments.", http://www.careerpathdc.org/CPDC.JPG ,http://www.careerpathdc.org/CPDC.JPG
0008,Boys and Girls Clubs of Greater Washington,"4103 Benning Rd NE, Washington, DC 20019",7,youth_focused,(202) 397-2582,"Boys & Girls Clubs of Greater Washington (BGCGW) traces its roots to 1886 as the Newsboys and Children's Aid Society, evolving through several name changes before becoming Boys & Girls Clubs of Greater Washington in 1981 when it began serving both boys and girls equally. Its mission is to help young people, especially those who need it most, build confidence, develop character, and gain the skills to become productive, civic-minded adults.", http://www.bgcgw.org/ ,https://cdn.corenexis.com/f/GRPg1wj4NBY.png
0009,"Kid Power, Inc.","400 E St SW, Washington, DC 20024",6,youth_focused,(202) 484-1404,"Kid Power provides civics-based academic enrichment, hands-on science and gardening, and mentorship to DC youth in under-resourced neighborhoods. The organization empowers students to build academic skills, practice healthy living, and advocate for positive change in their communities.", https://www.kidpowerdc.org/ ,https://www.kidpowerdc.org/wp-content/uploads/2025/03/Color-Logo-96x96-1.png
0010,"Urban Outreach, Inc","5343 C St SE, Washington, DC 20019",7,church,(202) 575-4867,"Urban Ed provides technology-focused education, information technology certifications, and workforce development to children, youth, and adults in the DC region. Its programs address early educational gaps and equip residents with marketable technical skills for high-demand IT careers.", https://urbanoutreachdc.org/ ,https://storage1.snappages.site/V28X8T/assets/images/5812236_1083x628_500.jpg
0011,Bread for the World,"425 3rd St SW #1200, Washington, DC 20024",6,food_bank,(800) 822-7323,"Bread for the World is a nonpartisan, Christian advocacy movement that works to urge national leaders to end hunger in the United States and across the globe. Through grassroots mobilization and legislative policy reform, it addresses the root causes of food insecurity", https://www.bread.org/ ,https://www.bread.org/wp-content/themes/bread/images/bread_header_logo.svg
0012,Christ Church Capitol Hill,"620 G St SE, Washington, DC 20003",6,church,(202) 547-9300,"Christ Church Capitol Hill is a historic Episcopal parish in Washington, DC, offering inclusive worship and community fellowship. The church actively engages the local community through outreach initiatives, social justice efforts, and charitable partnerships.", http://christchurchdc.org/ ,https://christchurchdc.org/wp-content/uploads/sites/27/2024/05/ChristChurch2.png
0013,New Image Community Baptist,"1839 Alabama Ave SE, Washington, DC 20020",8,church,(202) 889-3067,"New Image Community Baptist Church is a vibrant faith community located in Ward 7 focused on spiritual development and neighborhood fellowship. It actively serves local residents through community outreach, family support services, and local ministry initiatives.", https://www.newimagecbc.org/ ,https://www.newimagecbc.org/build/image/67.png?w=400&h=200&fit=max&s=ef6bf6ec184cc603a8c714eee33a9ba5
0014,Our Lady of Perpetual Help Roman Catholic Church,"1600 Morris Rd SE, Washington, DC 20020",8,church,(202) 678-4999,"Our Lady of Perpetual Help is a historically African American Catholic parish in Southeast DC dedicated to worship, community empowerment, and spiritual care. It serves local families through parish ministries, youth programs, and community assistance", https://www.olphsedc.com/ ,https://files.ecatholic.com/24978/pictures/2020/1/olph_banner3.gif?t=1579870376000
0015,Good Success Christina Church & Ministries,"4401 Sheriff Rd NE, Washington, DC 20019",7,church,(202) 398-3000,"Good Success Christian Church is a faith-based organization committed to spiritual growth, mentorship, and holistic empowerment. The ministry offers worship services alongside community outreach and educational workshops designed to support local families.", http://www.goodsuccesschurch.org/ ,https://storage1.snappages.site/WDS5NG/assets/images/10942466_1008x1008_500.png
0016,Ward Memorial AME Church,"241 42nd St NE, Washington, DC 20019",7,church,(202) 398-3899,"Ward Memorial AME Church is a long-standing African Methodist Episcopal congregation dedicated to social justice and community advocacy. Located in Ward 7, the church hosts worship services, food distribution initiatives, and youth development opportunities.", https://www.wardame.org ,"https://static.wixstatic.com/media/385295_783350a853d34e81ac847717175e90b2~mv2.png/v1/fill/w_256,h_171,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Ward-Memorial-AME-logo_white-text.png"
0017,AmeriCorps,"250 E St SW, Washington, DC 20024",6,social_welfare,(202) 606-5000,"AmeriCorps is a national service agency that places volunteers with local non-profits, schools, and civic groups to tackle pressing community issues. Members assist with education, public health, disaster relief, and economic opportunity initiatives across the city.", https://www.americorps.gov ,https://www.americorps.gov/themes/custom/americorps/logo.svg
